Mouse started moving,m,0,,2019-06-10 10:50:49.285027
Mouse moved,m,375,2,2019-06-10 10:50:49.659143
Button clicked,m,32,2,2019-06-10 10:50:49.690423
Mouse started moving,m,0,,2019-06-10 10:50:51.820959
Mouse moved,m,406,9,2019-06-10 10:50:52.226453
Button clicked,m,16,9,2019-06-10 10:50:52.242963
Mouse started moving,m,0,,2019-06-10 10:50:52.805015
Mouse started moving,m,0,,2019-06-10 10:51:15.678251
Mouse moved,m,813,1,2019-06-10 10:51:16.491321
Button clicked,m,39,1,2019-06-10 10:51:16.530895
Mouse started moving,m,0,,2019-06-10 10:51:16.829305
Mouse moved,m,429,+,2019-06-10 10:51:17.258550
Button clicked,m,24,+,2019-06-10 10:51:17.282958
Mouse started moving,m,0,,2019-06-10 10:51:17.348885
Mouse moved,m,422,1,2019-06-10 10:51:17.770731
Button clicked,m,12,1,2019-06-10 10:51:17.782043
Mouse started moving,m,0,,2019-06-10 10:51:17.844948
Mouse moved,m,622,=,2019-06-10 10:51:18.466732
Button clicked,m,48,=,2019-06-10 10:51:18.514165
Mouse started moving,m,0,,2019-06-10 10:51:19.917355
Mouse moved,m,614,2,2019-06-10 10:51:20.531519
Button clicked,m,17,2,2019-06-10 10:51:20.548064
Mouse started moving,m,0,,2019-06-10 10:51:20.605011
Mouse moved,m,942,3,2019-06-10 10:51:21.546752
Button clicked,m,56,3,2019-06-10 10:51:21.602589
Mouse started moving,m,0,,2019-06-10 10:51:22.165581
Mouse moved,m,589,+,2019-06-10 10:51:22.754974
Button clicked,m,40,+,2019-06-10 10:51:22.794341
Mouse started moving,m,0,,2019-06-10 10:51:23.181476
Mouse moved,m,445,2,2019-06-10 10:51:23.626750
Button clicked,m,6,2,2019-06-10 10:51:23.632430
Mouse started moving,m,0,,2019-06-10 10:51:23.732934
Mouse moved,m,302,4,2019-06-10 10:51:24.034238
Button clicked,m,19,4,2019-06-10 10:51:24.052068
Mouse started moving,m,0,,2019-06-10 10:51:24.085149
Mouse moved,m,517,=,2019-06-10 10:51:24.602762
Button clicked,m,24,=,2019-06-10 10:51:24.626224
Mouse started moving,m,0,,2019-06-10 10:51:26.589418
Mouse moved,m,501,CLEAR,2019-06-10 10:51:27.090745
Button clicked,m,24,CLEAR,2019-06-10 10:51:27.114517
Mouse started moving,m,0,,2019-06-10 10:51:27.157016
Mouse moved,m,462,1,2019-06-10 10:51:27.618960
Button clicked,m,25,1,2019-06-10 10:51:27.643592
Mouse started moving,m,0,,2019-06-10 10:51:27.677073
Mouse moved,m,341,8,2019-06-10 10:51:28.018673
Button clicked,m,24,8,2019-06-10 10:51:28.042559
Mouse started moving,m,0,,2019-06-10 10:51:28.165280
Mouse moved,m,365,*,2019-06-10 10:51:28.530846
Button clicked,m,34,*,2019-06-10 10:51:28.564493
Mouse started moving,m,0,,2019-06-10 10:51:28.605174
Mouse moved,m,445,7,2019-06-10 10:51:29.050654
Button clicked,m,25,7,2019-06-10 10:51:29.075931
Mouse started moving,m,0,,2019-06-10 10:51:29.181226
Mouse moved,m,405,=,2019-06-10 10:51:29.586648
Button clicked,m,48,=,2019-06-10 10:51:29.635013
Mouse started moving,m,0,,2019-06-10 10:51:31.845362
Mouse moved,m,469,5,2019-06-10 10:51:32.314882
Button clicked,m,18,5,2019-06-10 10:51:32.332300
Mouse started moving,m,0,,2019-06-10 10:51:32.373085
Mouse moved,m,237,1,2019-06-10 10:51:32.610774
Button clicked,m,24,1,2019-06-10 10:51:32.634338
Mouse started moving,m,0,,2019-06-10 10:51:32.717080
Mouse moved,m,382,2,2019-06-10 10:51:33.099135
Button clicked,m,32,2,2019-06-10 10:51:33.130513
Mouse started moving,m,0,,2019-06-10 10:51:33.213108
