Mouse started moving,m,0,,2019-06-11 10:37:29.105465,1,1
Mouse moved,m,566,1,2019-06-11 10:37:29.671372,1,1
Button clicked,m,21,1,2019-06-11 10:37:29.692107,1,1
Mouse started moving,m,0,,2019-06-11 10:37:29.736594,1,1
Mouse moved,m,485,+,2019-06-11 10:37:30.221695,1,1
Button clicked,m,12,+,2019-06-11 10:37:30.233616,1,1
Mouse started moving,m,0,,2019-06-11 10:37:30.344317,1,1
Mouse moved,m,404,2,2019-06-11 10:37:30.748359,1,1
Button clicked,m,5,2,2019-06-11 10:37:30.753844,1,1
Mouse started moving,m,0,,2019-06-11 10:37:30.768428,1,1
Mouse moved,m,358,+,2019-06-11 10:37:31.126215,1,1
Button clicked,m,14,+,2019-06-11 10:37:31.139688,1,1
Mouse started moving,m,0,,2019-06-11 10:37:31.200325,1,1
Mouse moved,m,309,3,2019-06-11 10:37:31.509872,1,1
Button clicked,m,15,3,2019-06-11 10:37:31.524600,1,1
Mouse started moving,m,0,,2019-06-11 10:37:31.584319,1,1
Mouse moved,m,311,+,2019-06-11 10:37:31.895096,1,1
Button clicked,m,11,+,2019-06-11 10:37:31.905149,1,1
Mouse started moving,m,0,,2019-06-11 10:37:32.016452,1,1
Mouse moved,m,534,4,2019-06-11 10:37:32.550030,1,1
Button clicked,m,12,4,2019-06-11 10:37:32.562009,1,1
Mouse started moving,m,0,,2019-06-11 10:37:32.600318,1,1
Mouse moved,m,462,+,2019-06-11 10:37:33.062100,1,1
Button clicked,m,14,+,2019-06-11 10:37:33.075574,1,1
Mouse started moving,m,0,,2019-06-11 10:37:33.144392,1,1
Mouse moved,m,341,5,2019-06-11 10:37:33.486026,1,1
Button clicked,m,15,5,2019-06-11 10:37:33.500247,1,1
Mouse started moving,m,0,,2019-06-11 10:37:33.520378,1,1
Mouse moved,m,461,+,2019-06-11 10:37:33.981836,1,1
Button clicked,m,24,+,2019-06-11 10:37:34.006016,1,1
Mouse started moving,m,0,,2019-06-11 10:37:34.040405,1,1
Mouse moved,m,357,6,2019-06-11 10:37:34.397956,1,1
Button clicked,m,5,6,2019-06-11 10:37:34.402774,1,1
Mouse started moving,m,0,,2019-06-11 10:37:34.504841,1,1
Mouse moved,m,325,+,2019-06-11 10:37:34.829923,1,1
Button clicked,m,9,+,2019-06-11 10:37:34.838067,1,1
Mouse started moving,m,0,,2019-06-11 10:37:34.904400,1,1
Mouse moved,m,574,7,2019-06-11 10:37:35.478437,1,1
Button clicked,m,14,7,2019-06-11 10:37:35.492031,1,1
Mouse started moving,m,0,,2019-06-11 10:37:35.512385,1,1
Mouse moved,m,525,+,2019-06-11 10:37:36.037867,1,1
